;full_text;created_at;retweet_count;favorite_count;retweeted
3207;"RT @BP_TandT: Welcome home!
BPTT's Angelin platform has arrived in T&amp;T!  Find out more at: https://t.co/L7lmcZ57Ke https://t.co/2Lw5GJz9wK";Mon Aug 06 08:08:10 +0000 2018;15;0;False
3206;#BP's new #LNG #ships set sail. Read the story behind the numbers ➡️ https://t.co/vMUP23Wjg4 https://t.co/nSKyGvRUYF;Mon Aug 06 11:17:23 +0000 2018;21;60;False
3205;RT @BP_America: Let's celebrate #AmericanWindWeek! Did you know BP is one of America's top #wind energy producers? https://t.co/GXBzDD8B4G;Mon Aug 06 14:02:35 +0000 2018;22;0;False
3204;Welcome home!  @BP_TandT's #Angelin platform arrives in #Trinidad as it gears up to deliver first gas next year  https://t.co/W2UagRxidx https://t.co/wNRK5TFufp;Mon Aug 06 16:47:04 +0000 2018;3;18;False
3203;'I’m proud to have played my part' - the people power behind the building of a #NatGas project across three countries (and counting): https://t.co/rI5s4Og7JR https://t.co/NcO81vVwwJ;Tue Aug 07 07:18:05 +0000 2018;5;26;False
3202;#NAME?;Tue Aug 07 08:21:03 +0000 2018;0;0;False
3201;"RT @EnergyVoiceNews: ‘It’s time to see bigger picture’, @BP_plc boss says
https://t.co/5tNqURhyB3 https://t.co/kIfr7ZwU8N";Tue Aug 07 08:24:08 +0000 2018;4;0;False
3200;🐦 🐦 🐦  Bird’s eye view of #Phase1 in #BP's development at #ClairOilfield https://t.co/yIcyhnqJ6X;Tue Aug 07 20:36:04 +0000 2018;6;53;False
3199;RT @BP_Indonesia: WDA platform topside load out! Thank you @HumasSKKMigas for the shout out https://t.co/HNY9yMKQQt https://t.co/SNny6znQme;Wed Aug 08 07:08:56 +0000 2018;1;0;False
3198;Which policies are necessary to make a 2°C world a reality? That's one of the key questions from our stakeholders we are answering in our #sustainabilityreport https://t.co/Vlatj2jgHm https://t.co/YIdFXiTFFD;Wed Aug 08 07:09:04 +0000 2018;6;17;False
3197;"RT @LightsourceBP: Excited to announce that we've acquired an impressive American portfolio of assets!

https://t.co/iNS9dbYlIT";Wed Aug 08 15:00:28 +0000 2018;9;0;False
3196;RT @AhmedAHashmi: Harnessing The Power Of The Digital Army https://t.co/7DwLCx8OqK;Wed Aug 08 15:00:42 +0000 2018;6;0;False
3195;Which policies are necessary to make a 2°C world a reality? That's one of the key questions from our stakeholders we are answering in our #sustainabilityreport https://t.co/Vlatj2jgHm https://t.co/yGoyvYpxIN;Wed Aug 08 16:32:04 +0000 2018;8;12;False
3194;⚡🚗 Electrification is the hot topic of the moment - we take a look at why, and what BP's role will be #electricvehicles #EVs #mobility https://t.co/a9tzKGaF5A;Thu Aug 09 11:08:46 +0000 2018;9;15;False
3193;RT @BP_UK: Who remembers this vintage forecourt promotion for #Wall's Ice Cream from 1971?  It seems rather fitting in this heatwave! #TBT…;Thu Aug 09 12:42:46 +0000 2018;4;0;False
3192;@JCB_Digger I'll look into this for you. In the meantime, may I please take your email address so I can advise you later on under reference  1-6651973702? Many thanks in advance.  David.;Thu Aug 09 16:29:00 +0000 2018;0;1;False
3191;@craigneal25 I'm really sorry for this, Mr Neal. Would you be so kind as to email me further details (date and time of purchase, copy of receipt perhaps, name of product) to careline@bp.com and please quote our reference  1-6658312726 so I'll be able to rectify this for you. Dave;Thu Aug 09 16:29:30 +0000 2018;0;1;False
3190;BP Target Neutral has offset three million tonnes of carbon dioxide equivalent (CO2e) on behalf of customers since 2006. It is one of #BP’s accredited Advancing Low Carbon (#ALC) activities https://t.co/C0xLC5MZmd https://t.co/Ld8eEatpdG;Thu Aug 09 16:38:02 +0000 2018;4;18;False
3189;RT @BP_America: This year alone, BP’s U.S. #wind farms will keep 3 million tons of CO2 out of the air. Learn more here: https://t.co/yTpIbh…;Thu Aug 09 16:39:52 +0000 2018;12;0;False
3188;RT @BP_UK: Our #EV trial is now underway.  We're still looking for Nissan Leaf drivers, who are in the Hammersmith area regularly, to join…;Fri Aug 10 08:09:45 +0000 2018;10;0;False
3187;👍 https://t.co/n3CP5mzcrF;Fri Aug 10 08:23:08 +0000 2018;3;16;False
3186;'I’m proud to have played my part' - the people power behind the building of a #NatGas project across three countries (and counting): https://t.co/rI5s4Og7JR https://t.co/AvgpvdCc0x;Fri Aug 10 11:18:04 +0000 2018;4;19;False
3185;What a beautiful sight! #ClairRidge is preparing for first oil later this year, and looking great in the meantime. Who else loves the new bridge-linked platforms? 💕 https://t.co/TZCd2pwv0Q;Fri Aug 10 11:49:04 +0000 2018;18;93;False
3184;"RT @MorrellGeoff: Bullish outlook on #BP from @GoldmanSachs, saying we’re ‘on the cusp’ of delivering huge oil &amp; gas results
https://t.co/3…";Fri Aug 10 11:49:15 +0000 2018;11;0;False
3183;"RT @InnovateMySchl: Ultimate STEM Challenge returns with biggest competition yet! | ft @BP_plc #STEMchat #SLT #teachchat

https://t.co/O1sx…";Fri Aug 10 13:25:00 +0000 2018;2;0;False
3182;Ready for lift-off – these huge reels are being prepared to carry the umbilical cables which will be run along the sea floor as part of the West Nile Delta project in #Egypt https://t.co/CekhfynfUj https://t.co/kume9WcYbO;Sat Aug 11 08:11:08 +0000 2018;10;30;False
3181;#BP's new #LNG #ships set sail. Read the story behind the numbers ➡️ https://t.co/vMUP23Wjg4 https://t.co/ZNyLzd8z6x;Sat Aug 11 11:17:21 +0000 2018;29;56;False
3180;🤝  #Onthisday 20 years ago a milestone moment for #BP - it was announced we were joining forces with #Amoco. At the time it was the largest ever industrial merger https://t.co/GAzLVi8n09 https://t.co/RHFpg6EMCu;Sat Aug 11 15:18:05 +0000 2018;14;41;False
3179;📹I What makes a mega project? Watch how #ShahDeniz2 came to life https://t.co/1cnd0VrSHb https://t.co/l2CIB7uyNG;Sun Aug 12 07:08:41 +0000 2018;4;18;False
3178;Ready for lift-off – these huge reels are being prepared to carry the umbilical cables which will be run along the sea floor as part of the West Nile Delta project in #Egypt https://t.co/CekhfynfUj https://t.co/YazTEbCHFU;Sun Aug 12 11:58:04 +0000 2018;25;36;False
3177;Hear about the changes BP is making across its entire business to meet the world’s dual challenge #lowcarbon https://t.co/l891G6PatF;Sun Aug 12 16:42:42 +0000 2018;7;21;False
3176;@erik_a_sunden Hi @erik_a_sunden Unfortunately there was a mistake with the country ordering. It has now been fixed in the PDF and on the web page. Sorry if it caused any confusion!;Mon Aug 13 07:07:32 +0000 2018;0;1;False
3175;#BP's new #LNG #ships set sail. Read the story behind the numbers ➡️ https://t.co/vMUP23Wjg4 https://t.co/TdByay8Ipl;Mon Aug 13 07:43:21 +0000 2018;12;21;False
3174;@Nicolas14993294  We're really sorry to hear this. Please PM an email address so that we can discuss this with you further.;Mon Aug 13 09:04:55 +0000 2018;0;0;False
3173;@jdizzlenz  We're really sorry to hear this.  Please PM an email address so that we can discuss this with you further.;Mon Aug 13 09:05:10 +0000 2018;0;0;False
3172;@williaax Hi Alan. Please can you let us know which BP station this happened at, so our team can look into it? Thanks, ^AW;Mon Aug 13 11:12:03 +0000 2018;0;0;False
3171;@LordStDubois Hi Lorenzo. We're really sorry you've had these issues with the app. It might be worth contacting your bank to see if they are able to speed up the process. You can also speak directly to our BPme team at bpmeuk@bp.com or on 0800402402. Thanks, ^AW;Mon Aug 13 12:13:13 +0000 2018;0;0;False
3170;@glasshill We are very sorry to hear about this experience, Ruth. We'd appreciate if you could reach out to us at bpconsumer@bp.com or 1-800-333-3991 with any additional details you have, including the site address. https://t.co/INHXF4AmFZ;Mon Aug 13 14:20:23 +0000 2018;0;0;False
3169;"BP has been part of #OCGI, a voluntary CEO-led initiative leading the oil and gas industry’s response to climate change, since 2014. This is one of #BP’s accredited Advancing Low Carbon (#ALC) activities @OGCInews
https://t.co/C0xLC5MZmd https://t.co/a3c86jhbVu";Mon Aug 13 16:38:07 +0000 2018;4;15;False
3168;Construction 🏗️ of the new #Atlantis platform at #Ingleside, #Texas, US, in 2006. Read about #BP’s investments in operations and safety here: https://t.co/bw0e3yiUyO https://t.co/Igqy0yld4R;Tue Aug 14 07:02:05 +0000 2018;8;22;False
3167;"@shamsherkainth It’s never our intention to upset or offend customers &amp; we’ve apologised to the customer. We have a safety policy in which our employees ask everyone to remove headwear &amp; face coverings before entering the store. The policy doesn't apply to religious headwear.";Tue Aug 14 07:44:56 +0000 2018;0;0;False
3166;"Solar ✔️
Carbon management ✔️
Low carbon power and storage ✔️
Digital transformation ✔️
Advanced mobility ✔️
Bio and low carbon products ✔️
How BP is investing in #lowcarbon ventures and start-ups https://t.co/5HHgn8RSxi https://t.co/5Yk5IXYrMq";Tue Aug 14 11:32:06 +0000 2018;13;29;False
3165;RT @BP_Press: #AirBP ✈️ presents its #carbon offsetting program for business aviation at #LABACE2018 https://t.co/bvXKij50XP https://t.co/u…;Tue Aug 14 13:57:05 +0000 2018;6;0;False
3164;Construction 🏗️ of the new #Atlantis platform at #Ingleside, #Texas, US, in 2006. #BP’s investments in operations and safety here: https://t.co/bw0e3yiUyO https://t.co/LIOgLq2GQm;Tue Aug 14 15:56:06 +0000 2018;2;17;False
3163;"RT @BP_America: #TriviaTuesday: BP's marketing and trading team completes around 1.2 million transactions in the U.S. ---&gt; https://t.co/RpD…";Tue Aug 14 16:12:08 +0000 2018;2;0;False
3162;⚡🚗 Electrification is the hot topic of the moment - we take a look at why, and what BP's role will be #electricvehicles #EVs #mobility https://t.co/yXnGG3TSdM;Wed Aug 15 07:08:42 +0000 2018;20;36;False
3161;"Our new  accreditation programme, Advancing Low Carbon (ALC), is designed to encourage every part of BP to pursue lower carbon opportunities &amp; to encourage customers to make lower carbon choices #lowcarbon https://t.co/XhuIPhwtIR";Wed Aug 15 16:49:20 +0000 2018;7;19;False
3160;@miltonbm apologies for this. EFTPOS wasn't working over the weekend due to a technical fault, but we'd normally manually process payment. The manager will address this with staff. I'd like to send you  free coffee cards to apologise for the inconvenience. Please DM me details.;Thu Aug 16 07:13:47 +0000 2018;0;0;False
3159;Here's a little #ThrowbackThursday tester to get you thinking 🤔 - do you know who or what this is? https://t.co/KDcQ3NGJu7;Thu Aug 16 07:23:05 +0000 2018;5;17;False
3158;"Solar ✔️
Carbon management ✔️
Low carbon power and storage ✔️
Digital transformation ✔️
Advanced mobility ✔️
Bio and low carbon products ✔️
How BP is investing in #lowcarbon ventures and start-ups https://t.co/5HHgn8RSxi https://t.co/UHuCxsSGhm";Thu Aug 16 11:32:04 +0000 2018;4;25;False
3157;Great view @BP_MiddleEast 👀 https://t.co/YEdxyu0ej2;Thu Aug 16 11:53:13 +0000 2018;1;5;False
3156;Here's a little #ThrowbackThursday tester to get you thinking 🤔 - do you know who or what this is? https://t.co/y4R7bfkJ2w;Thu Aug 16 17:09:03 +0000 2018;2;14;False
3155;People power - building a #NatGas project across three countries (and counting):  https://t.co/xaJkAuQERT #Azerbaijan https://t.co/4tJPNPWFKd;Fri Aug 17 06:38:05 +0000 2018;33;60;False
3154;"@BP_plc  Thanks for your guesses!

 The correct answer is (some futuristic looking) cat's eyes!";Fri Aug 17 07:13:51 +0000 2018;0;0;False
3153;"RT @Cheoinin: Susie Thomson, Risk Learning&amp;Assurance Advisor with @BP_plc was awarded Chartered Master Mariner status by the Hon. Co. of Ma…";Fri Aug 17 07:14:11 +0000 2018;5;0;False
3152;👀 Want to take a look #behindthescenes at life on board this #offshore platform? Check out our @instagram story https://t.co/OtqVPGkviE #BTS https://t.co/Y4t7HU4DQ7;Fri Aug 17 10:42:04 +0000 2018;2;10;False
3151;"@marksandspencer @BP_PLC @claral72 Awww, thanks Clara! We're really glad you enjoyed your coffee. And thanks M&amp;S for passing on the message. Have nice weekends all. ^AW";Fri Aug 17 12:09:38 +0000 2018;0;1;False
3150;"RT @BP_Oman: 📹 📹 Celebrating the success stories of #BP's graduate programme in #Oman ""The challenge programme"" as it marks the 25th annive…";Fri Aug 17 14:02:24 +0000 2018;8;0;False
3149;Hi @fearnwebdesign,  we're sorry for any inconvenience. I've shared your issue with our team here at BP. If you wish to speak to someone, please get in touch at careline@bp.com or call 0800 402402. Thanks, ^EB;Fri Aug 17 14:50:19 +0000 2018;2;5;False
3148;Another big moment for  @BP_TandT's #Angelin project offshore #Trinidad – this great photo shows the operation to lift the #jacket into the right position ready for the next stage of installation https://t.co/bhOvUsSEQV;Fri Aug 17 16:33:05 +0000 2018;2;22;False
3147;📹 The facts and figures that make up the #ShahDeniz2 development in #Azerbaijan, the biggest #NatGas project in our growing gas portfolio https://t.co/1cnd0VrSHb https://t.co/6NqVsYMMV8;Sat Aug 18 07:18:41 +0000 2018;24;45;False
3146;#BP's new #LNG #ships set sail. Read the story behind the numbers ➡️ https://t.co/vMUP23Wjg4 https://t.co/W21retjSJE;Sat Aug 18 11:36:19 +0000 2018;18;31;False
3145;📷📷📷 Did you know #ClairRidge, which is preparing for first oil later this year, is targeting to extract 640 million barrels of recoverable resource? https://t.co/O2Cu0JMjE1;Sun Aug 19 08:49:04 +0000 2018;17;49;False
3144;"#Butamax, a joint venture between BP &amp; @DuPont_News, has created a technology that converts sugars from corn into an energy-rich biofuel known as bio-isobutanol. This is one of #BP’s accredited Advancing Low Carbon (#ALC) activities https://t.co/C0xLC5MZmd https://t.co/1HYY9ccdWA";Sun Aug 19 13:27:05 +0000 2018;11;15;False
3143;Did you know that #BP's #Clair platform was the 1st fixed platform built west of Shetland? https://t.co/zq5pUrfHYA;Sun Aug 19 16:14:04 +0000 2018;7;21;False
3142;"Developing local skills &amp; contributing to #Oman’s economic and social development - why #Khazzan is producing more than just #gas https://t.co/Ta4cdRFi4H #sustainability https://t.co/72UThKQPzl";Mon Aug 20 07:07:08 +0000 2018;7;29;False
3141;"RT @BP_MiddleEast: #BP wishes you and your families Eid Mubarak
شركة بي. بي. تتمنى لكم جميعاً عيداً سعيداً #عيدكم_مبارك https://t.co/34AfNd…";Mon Aug 20 07:15:51 +0000 2018;12;0;False
3140;RT @oilandgasuk: Delighted to have the @BP_plc ETAP Safety Reps shortlisted for the Workforce Engagement Award at #OSA18 - meet members of…;Mon Aug 20 08:41:37 +0000 2018;3;0;False
3139;@jessicaibrewer Hi Jessica. That doesn't sound right, you should only pay for the fuel once it's pumping. Please can you drop our Customer Careline Team a line with the details of what happened, so they can look into it? Their email address is careline@bp.com Thanks, ^AW;Mon Aug 20 09:21:48 +0000 2018;0;0;False
3138;@dermitchie Hi there. We're sorry this wasn't made clearer. It does seem to say on the poster that the offer excludes all fuel card transactions, but we'll take your feedback on board for future promotions. Thanks ^AW;Mon Aug 20 09:25:28 +0000 2018;0;0;False
3137;@dermitchie Hi again. Apologies, we may have slightly misread your tweet. We're sorry fuel cards were excluded on this one, but we'll take your feedback into consideration for future promotions. Thanks ^AW;Mon Aug 20 09:27:43 +0000 2018;0;0;False
3136;"“Bringing together the UK’s leading fuel retailer &amp; its largest charging company.” The inside story on the creation of BP Chargemaster #EVs #electricvehicles https://t.co/cbSib7s98V #BP @Chargemasterplc  🚗 ⚡ https://t.co/F3y4QqZpJO";Mon Aug 20 11:32:03 +0000 2018;5;14;False
3135;@haughtonk9 Thank you for bringing this to our attention. I would be happy to look into this and if you wish to receive some feedback please kindly provide us your email address, so we can contact you afterwards. Your case ref 1-6748682694 Kind regards Careline Team;Mon Aug 20 13:43:35 +0000 2018;0;0;False
3134;@squarewhisper we are very sorry to hear about this experience. We'd appreciate if you could reach out to us at bpconsumer@bp.com or 1-800-333-3991 with any details you have, including the site address. https://t.co/INHXF4AmFZ;Mon Aug 20 16:12:25 +0000 2018;0;0;False
3133;#AirBP's ✈️ dual challenge - @telebusiness ($) on the airline biofuel revolution preparing for take-off https://t.co/lTSttpkbQr https://t.co/SXnTxtgnQu;Mon Aug 20 16:41:06 +0000 2018;4;12;False
3132;RT @SueRyderScot: An incredible bunch. The @BP_plc #Coast2Coast team's annual cycling challenge raised over £194k to be split between 5 cha…;Tue Aug 21 06:43:01 +0000 2018;3;0;False
3131;"What’s changed ✔️
What’s mostly the same ✔️
Areas to watch ✔️
A year in global energy markets ➡️ https://t.co/MYmsJKEjX4 https://t.co/nZsVNT70R1";Tue Aug 21 07:03:03 +0000 2018;10;26;False
3130;How we are reducing emissions - the changes we are making across our business, and the targets to back them up https://t.co/ofqAasnpGc #lowcarbon https://t.co/CRK37pGdPw;Tue Aug 21 11:10:22 +0000 2018;8;23;False
3129;"RT @BP_Oman: This is how we celebrated the 1st day of Eid at Khazzan field    #EidMubarak  😃  

لحظات من احتفالنا ب #عيد_الأضحى_المبارك  صب…";Tue Aug 21 15:23:18 +0000 2018;25;0;False
3128;Good work 💪👊🤝 https://t.co/sNyBYGctcE;Tue Aug 21 18:23:11 +0000 2018;3;6;False
3127;@_Young_ela_ We are very sorry to hear about this experience. We'd appreciate if you could reach out to us at bpconsumer@bp.com or 1-800-333-3991 with any details you have, including the full site address. https://t.co/INHXF4AmFZ;Wed Aug 22 00:21:03 +0000 2018;0;0;False
3126;RT @KosmosEnergy: According to @PetroleumEcon, #LNG capacity will need to double from current levels to keep pace with demand. Our Tortue g…;Wed Aug 22 09:01:41 +0000 2018;11;0;False
3125;Improving our products - the changes we are making across our business, and the targets to back them up https://t.co/ofqAasnpGc #lowcarbon https://t.co/C7lQVwmwiY;Wed Aug 22 11:11:20 +0000 2018;5;14;False
3124;"BP is actively participating in the Oil &amp; Gas Methane Partnership (OGMP) – part of @CCACoalition - helping to deepen industry understanding of #methane #emissions &amp; how to reduce them. It is one of #BP’s accredited Advancing Low Carbon (#ALC) activities https://t.co/C0xLC5MZmd https://t.co/vzi6noNmS2";Wed Aug 22 16:38:06 +0000 2018;5;21;False
3123;@fabniall  Hi Maggie, this is a refundable $1 pre-authorisation hold by your financial provider to ensure the payment method is valid. The refund times may vary depending on the card issuer or bank. We suggest you contact your bank directly if you have further questions.;Thu Aug 23 07:00:28 +0000 2018;0;0;False
3122;"Harnessing the power of the #digital army - BP's  @AhmedAHashmi on the  technologies and techniques helping transform the oil &amp; gas industry  https://t.co/zDZF5fvJza https://t.co/cxpjVQCzgd";Thu Aug 23 07:54:06 +0000 2018;4;19;False
3121;Creating low carbon businesses - the changes we are making across our business, and the targets to back them up https://t.co/ofqAasnpGc #lowcarbon https://t.co/GySnj9sNgp;Thu Aug 23 11:12:20 +0000 2018;8;17;False
3120;"RT @theogtc: We're at @BP_plc #NorthSea HQ today for our second #TechX Pioneer customer showcase event. 

This is a great opportunity for o…";Thu Aug 23 13:59:42 +0000 2018;5;0;False
3119;@KmikeFonagy we're sorry to hear you missed out on seeing Hamilton. We will pass this along to our Consumer Relations team, who will notify the station's owner.  Please DM us your contact information if you would like it included.;Thu Aug 23 14:22:31 +0000 2018;0;0;False
3118;"Developing local skills &amp; contributing to #Oman’s economic and social development - why #Khazzan is producing more than just #gas https://t.co/Ta4cdRFi4H #sustainability https://t.co/IMh2TmNFEK";Fri Aug 24 07:14:04 +0000 2018;6;15;False
3117;"It was our pleasure @theogtc!
https://t.co/4whFAqt0Wn";Fri Aug 24 07:20:37 +0000 2018;1;0;False
3116;BP #TargetNeutral #carbon offsetting schemes have a vital role to play in the ongoing effort to tackle #climatechange across the 🌍 via @DirectorIoD https://t.co/iXAdxIuToY https://t.co/ORFAQrNDYT;Fri Aug 24 10:41:05 +0000 2018;2;5;False
